Iteration,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Output Signal
213,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0.554639,-0.533826,0.0372568,0.227759,0.0588562,0.57183,0.389447,0.245614,-0.187255,-0.0480673,1.02132,-1.65698,2.42196,-0.442803,-0.329436,0.660949,-0.0734746,-0.699278,0.839414,-0.499528,0.29198,1.58515
214,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.431537,-0.656928,-0.0858456,0.104656,-0.0642462,0.448728,0.266344,0.122511,-0.310357,-0.0480673,1.02132,-1.78008,2.29886,-0.565906,-0.452539,0.537847,-0.196577,-0.82238,0.716312,-0.62263,0.29198,-0.809838
215,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.51772,-0.570746,-0.0858456,0.104656,-0.0642462,0.448728,0.266344,0.122511,-0.310357,-0.0480673,1.02132,-1.6939,2.38504,-0.479723,-0.366356,0.62403,-0.196577,-0.82238,0.716312,-0.536447,0.29198,-0.508867
216,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.494332,-0.594133,-0.109233,0.104656,-0.0642462,0.448728,0.266344,0.122511,-0.310357,-0.0480673,1.02132,-1.71728,2.36166,-0.50311,-0.389743,0.600642,-0.219964,-0.845768,0.692924,-0.559835,0.29198,-0.416707
217,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.466557,-0.621909,-0.137009,0.104656,-0.0642462,0.448728,0.266344,0.122511,-0.310357,-0.0480673,1.02132,-1.74506,2.33388,-0.530886,-0.417519,0.572867,-0.219964,-0.845768,0.692924,-0.587611,0.29198,-0.360403
218,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.531338,-0.557128,-0.0722277,0.169437,0.000534888,0.513509,0.331125,0.187292,-0.245576,0.0167138,1.02132,-1.74506,2.33388,-0.530886,-0.417519,0.572867,-0.219964,-0.845768,0.692924,-0.522829,0.29198,0.192664
219,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.474544,-0.613921,-0.129021,0.112644,-0.0562586,0.456716,0.274332,0.130499,-0.30237,-0.0400797,1.02132,-1.80185,2.27709,-0.58768,-0.474313,0.516073,-0.276758,-0.902561,0.636131,-0.579623,0.29198,-0.674462
220,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.459042,-0.629423,-0.144523,0.097142,-0.0717604,0.441214,0.25883,0.130499,-0.30237,-0.0400797,1.02132,-1.81735,2.26159,-0.603181,-0.489815,0.500571,-0.29226,-0.918063,0.620629,-0.595125,0.29198,-2.26079
221,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.51908,-0.569385,-0.0844854,0.15718,-0.0117229,0.501251,0.25883,0.130499,-0.30237,-0.0400797,1.02132,-1.75732,2.26159,-0.603181,-0.489815,0.500571,-0.29226,-0.918063,0.620629,-0.535087,0.29198,-0.654142
222,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.574635,-0.51383,-0.0289301,0.212735,0.0438324,0.556807,0.314385,0.186054,-0.246815,0.0154756,1.02132,-1.65301,2.36589,-0.498878,-0.385511,0.604875,-0.187956,-0.81376,0.724932,-0.479532,0.29198,0.265217
223,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.514387,-0.574079,-0.0891786,0.212735,0.0438324,0.556807,0.314385,0.186054,-0.246815,0.0154756,1.02132,-1.71326,2.30564,-0.498878,-0.385511,0.604875,-0.187956,-0.81376,0.724932,-0.53978,0.29198,0.429903
224,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.446296,-0.642169,-0.157269,0.144644,-0.0242582,0.488716,0.246295,0.117963,-0.314905,-0.052615,1.02132,-1.78135,2.23755,-0.566969,-0.453602,0.536784,-0.256047,-0.88185,0.656842,-0.607871,0.29198,-0.465946
225,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0.516103,-0.572362,-0.0874622,0.214451,0.0455487,0.558523,0.316102,0.18777,-0.245098,0.0171919,1.02132,-1.71155,2.30736,-0.497162,-0.453602,0.536784,-0.256047,-0.88185,0.656842,-0.538064,0.29198,-0.560555
226,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0.56331,-0.525155,-0.040255,0.261658,0.092756,0.60573,0.363309,0.234978,-0.197891,0.0171919,1.02132,-1.66434,2.35456,-0.449954,-0.335244,0.655142,-0.137689,-0.763493,0.656842,-0.490857,0.29198,0.9705
227,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0.469477,-0.618988,-0.134088,0.167825,-0.00107738,0.511897,0.269476,0.141144,-0.197891,0.0171919,1.02132,-1.75817,2.26073,-0.543788,-0.429078,0.655142,-0.137689,-0.763493,0.656842,-0.58469,0.29198,0.268119
228,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.40909,-0.679375,-0.194475,0.107438,-0.061464,0.45151,0.209089,0.0807576,-0.197891,0.0171919,1.02132,-1.81856,2.20034,-0.604174,-0.489464,0.594755,-0.198076,-0.763493,0.656842,-0.645077,0.29198,-0.620304
229,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0.486248,-0.602218,-0.117318,0.184596,0.0156933,0.528667,0.286246,0.157915,-0.120734,0.0943492,1.02132,-1.7414,2.2775,-0.527017,-0.412307,0.671912,-0.198076,-0.763493,0.656842,-0.567919,0.29198,-0.0576989
230,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.536614,-0.551851,-0.0669511,0.234962,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.69104,2.32787,-0.476651,-0.36194,0.671912,-0.198076,-0.763493,0.656842,-0.517553,0.29198,-2.05581
231,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.682129,-0.406336,0.0785639,0.380477,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.54552,2.32787,-0.476651,-0.36194,0.671912,-0.198076,-0.763493,0.656842,-0.372038,0.29198,0.214697
232,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.624286,-0.464179,0.0785639,0.380477,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.60336,2.27002,-0.534493,-0.419783,0.61407,-0.255919,-0.821335,0.598999,-0.429881,0.29198,-0.191209
233,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.681011,-0.407455,0.135288,0.380477,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.60336,2.27002,-0.534493,-0.419783,0.61407,-0.255919,-0.821335,0.598999,-0.373156,0.29198,0.486702
234,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.579506,-0.508959,0.0337839,0.278973,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.70487,2.16852,-0.635997,-0.521287,0.566306,-0.303682,-0.821335,0.598999,-0.474661,0.29198,-0.0224793
235,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.580595,-0.508959,0.0337839,0.278973,0.0660599,0.579034,0.336613,0.208282,-0.0703671,0.144716,1.02132,-1.65117,2.22222,-0.582297,-0.467587,0.620006,-0.303682,-0.821335,0.598999,-0.473572,0.29198,1.0337
236,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.483752,-0.605802,-0.0630591,0.18213,-0.0307831,0.482191,0.23977,0.208282,-0.0703671,0.144716,1.02132,-1.74801,2.12538,-0.67914,-0.56443,0.523163,-0.303682,-0.821335,0.598999,-0.570415,0.29198,-0.748419
237,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.529716,-0.559838,-0.0170951,0.228094,0.0151809,0.528155,0.285734,0.208282,-0.0703671,0.144716,1.02132,-1.70205,2.17134,-0.561979,-0.447268,0.523163,-0.303682,-0.821335,0.598999,-0.524451,0.29198,-0.343574
238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.498458,-0.591096,-0.0483534,0.196836,0.0151809,0.528155,0.285734,0.208282,-0.0703671,0.144716,1.02132,-1.70205,2.17134,-0.561979,-0.447268,0.523163,-0.303682,-0.821335,0.598999,-0.55571,0.29198,-0.0572521
239,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.548803,-0.591096,-0.0483534,0.196836,0.0151809,0.528155,0.285734,0.208282,-0.0703671,0.144716,1.02132,-1.70205,2.17134,-0.561979,-0.447268,0.523163,-0.303682,-0.821335,0.598999,-0.505364,0.29198,0.89919
240,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.458365,-0.681534,-0.138791,0.106398,-0.0752567,0.437717,0.195296,0.208282,-0.0703671,0.144716,1.02132,-1.79248,2.0809,-0.561979,-0.447268,0.523163,-0.303682,-0.821335,0.598999,-0.595802,0.29198,-1.45911
241,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.480227,-0.659672,-0.116929,0.106398,-0.0752567,0.437717,0.195296,0.208282,-0.0703671,0.144716,1.02132,-1.77062,2.10277,-0.540116,-0.425406,0.545025,-0.28182,-0.821335,0.598999,-0.57394,0.29198,-1.45911
242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.480227,-0.659672,-0.116929,0.106398,-0.0752567,0.437717,0.195296,0.208282,-0.0703671,0.144716,1.02132,-1.77062,2.10277,-0.540116,-0.425406,0.545025,-0.28182,-0.821335,0.598999,-0.57394,0.29198,-0.0937122
243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.532309,-0.659672,-0.116929,0.106398,-0.0752567,0.437717,0.195296,0.208282,-0.0703671,0.144716,1.02132,-1.77062,2.10277,-0.540116,-0.425406,0.545025,-0.28182,-0.821335,0.598999,-0.521858,0.29198,-0.0937122
244,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0.532309,-0.659672,-0.116929,0.106398,-0.0752567,0.437717,0.195296,0.208282,-0.0703671,0.144716,1.02132,-1.77062,2.10277,-0.540116,-0.425406,0.545025,-0.28182,-0.821335,0.598999,-0.521858,0.29198,-1.15559
245,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0.609117,-0.582864,-0.0401211,0.183206,0.00155102,0.514525,0.272104,0.285089,0.00644066,0.144716,1.02132,-1.64448,2.2289,-0.413979,-0.299269,0.671163,-0.155683,-0.695198,0.598999,-0.44505,0.29198,0.819885
246,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.522456,-0.669525,-0.126782,0.0965446,-0.0851102,0.427864,0.185443,0.198428,-0.0802205,0.0580546,1.02132,-1.73115,2.14224,-0.50064,-0.38593,0.671163,-0.155683,-0.695198,0.598999,-0.531712,0.29198,-0.270365
247,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0.582949,-0.609031,-0.0662887,0.157038,-0.0246166,0.488358,0.245936,0.198428,-0.0802205,0.0580546,1.02132,-1.67065,2.20274,-0.440147,-0.38593,0.671163,-0.155683,-0.695198,0.598999,-0.471218,0.29198,-1.24932
248,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0.594821,-0.597159,-0.0544164,0.16891,-0.0127443,0.50023,0.257809,0.2103,-0.0683483,0.0580546,1.02132,-1.65878,2.20274,-0.440147,-0.38593,0.671163,-0.155683,-0.695198,0.598999,-0.459346,0.29198,0.745566
249,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.558131,-0.63385,-0.0911069,0.13222,-0.0494348,0.463539,0.221118,0.17361,-0.0683483,0.0580546,1.02132,-1.69547,2.16605,-0.374344,-0.320127,0.736965,-0.0898798,-0.629395,0.664802,-0.496036,0.29198,0.278191
250,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.497265,-0.694716,-0.151973,0.0713538,-0.110301,0.402673,0.160252,0.112744,-0.0683483,0.0580546,1.02132,-1.69547,2.16605,-0.374344,-0.320127,0.736965,-0.0898798,-0.629395,0.664802,-0.556902,0.29198,0.178699
251,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.514775,-0.677206,-0.134463,0.0888638,-0.092791,0.420183,0.177762,0.130254,-0.0508383,0.0755647,1.02132,-1.67796,2.18356,-0.300135,-0.245918,0.811174,-0.0156709,-0.555186,0.739011,-0.539392,0.29198,-0.880671
252,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.60433,-0.58765,-0.0449074,0.17842,-0.00323525,0.420183,0.177762,0.130254,-0.0508383,0.0755647,1.02132,-1.5884,2.27311,-0.210579,-0.156362,0.811174,-0.0156709,-0.555186,0.739011,-0.449837,0.29198,0.81039
253,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.518121,-0.673859,-0.131116,0.0922105,-0.0894443,0.420183,0.177762,0.130254,-0.0508383,0.0755647,1.02132,-1.67461,2.1869,-0.296788,-0.242571,0.724965,-0.10188,-0.555186,0.739011,-0.536046,0.29198,-0.730689
254,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.505297,-0.686683,-0.143941,0.0793862,-0.0894443,0.420183,0.177762,0.130254,-0.0508383,0.0755647,1.02132,-1.67461,2.1869,-0.296788,-0.242571,0.724965,-0.10188,-0.555186,0.739011,-0.54887,0.29198,-0.464072
255,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0.479777,-0.712204,-0.169461,0.0538658,-0.114965,0.394663,0.177762,0.130254,-0.0508383,0.0755647,1.02132,-1.67461,2.1869,-0.296788,-0.242571,0.724965,-0.10188,-0.555186,0.739011,-0.57439,0.29198,-0.337043
256,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.543445,-0.648535,-0.105792,0.117535,-0.051296,0.458331,0.241431,0.193922,0.0128305,0.139233,1.02132,-1.61094,2.25057,-0.233119,-0.178903,0.724965,-0.10188,-0.555186,0.739011,-0.510722,0.29198,-0.248858
257,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.507677,-0.684304,-0.141561,0.0817659,-0.0870646,0.458331,0.241431,0.193922,0.0128305,0.139233,1.02132,-1.64671,2.2148,-0.268888,-0.178903,0.724965,-0.10188,-0.555186,0.739011,-0.54649,0.29198,-0.0247134
258,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.461235,-0.730746,-0.188003,0.0353236,-0.133507,0.458331,0.241431,0.193922,0.0128305,0.139233,1.02132,-1.69316,2.16836,-0.31533,-0.225345,0.678523,-0.10188,-0.555186,0.739011,-0.592933,0.29198,-0.855249
259,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.54958,-0.642401,-0.0996581,0.123669,-0.133507,0.458331,0.241431,0.193922,0.0128305,0.139233,1.02132,-1.60481,2.25671,-0.226985,-0.225345,0.678523,-0.10188,-0.555186,0.739011,-0.504587,0.29198,-0.0275508
260,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0.503273,-0.688708,-0.145965,0.0773617,-0.179814,0.412024,0.241431,0.193922,0.0128305,0.139233,1.02132,-1.65112,2.2104,-0.273292,-0.271652,0.632216,-0.148187,-0.601493,0.739011,-0.550894,0.29198,0.573975
261,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0.428321,-0.763659,-0.220916,0.00241053,-0.254765,0.337073,0.16648,0.118971,-0.0621207,0.0642822,1.02132,-1.72607,2.13545,-0.273292,-0.271652,0.632216,-0.148187,-0.601493,0.739011,-0.625846,0.29198,-0.461306
262,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.497907,-0.694073,-0.15133,0.0719965,-0.185179,0.406659,0.236066,0.188557,0.00746524,0.133868,1.02132,-1.65648,2.20503,-0.203706,-0.202066,0.701802,-0.078601,-0.601493,0.739011,-0.55626,0.29198,0.859174
263,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0.409375,-0.782605,-0.239862,-0.0165356,-0.273711,0.318127,0.147533,0.100025,-0.0810668,0.0453361,1.02132,-1.74501,2.1165,-0.292238,-0.290598,0.61327,-0.167133,-0.690025,0.650479,-0.644792,0.29198,-0.692026
264,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0.489948,-0.702033,-0.15929,0.0640371,-0.193139,0.3987,0.228106,0.180598,-0.000494183,0.0453361,1.02132,-1.66444,2.19707,-0.292238,-0.290598,0.61327,-0.167133,-0.690025,0.650479,-0.564219,0.29198,0.27534
265,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.429218,-0.762763,-0.22002,0.0033066,-0.253869,0.337969,0.167376,0.119867,-0.000494183,0.0453361,1.02132,-1.72517,2.13634,-0.292238,-0.290598,0.61327,-0.167133,-0.690025,0.650479,-0.62495,0.29198,-1.17852
266,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.437718,-0.754262,-0.21152,0.0033066,-0.253869,0.337969,0.167376,0.119867,-0.000494183,0.0453361,1.02132,-1.72517,2.13634,-0.292238,-0.290598,0.61327,-0.167133,-0.690025,0.650479,-0.616449,0.29198,-0.953471
267,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0.435503,-0.756478,-0.213735,0.00109092,-0.256085,0.337969,0.167376,0.119867,-0.000494183,0.0453361,1.02132,-1.72739,2.13413,-0.294454,-0.292814,0.611054,-0.167133,-0.690025,0.650479,-0.618665,0.29198,-0.474922
268,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.505737,-0.686244,-0.143501,0.0713253,-0.18585,0.408204,0.23761,0.190102,0.0697402,0.11557,1.02132,-1.65715,2.20436,-0.22422,-0.222579,0.681289,-0.0968987,-0.690025,0.650479,-0.54843,0.29198,0.679516
269,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0.42576,-0.766221,-0.223478,-0.00865163,-0.265827,0.328227,0.157633,0.110125,-0.0102367,0.0355935,1.02132,-1.73713,2.12438,-0.304197,-0.302556,0.601312,-0.176876,-0.770002,0.570502,-0.628407,0.29198,-1.06498
270,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.428854,-0.763126,-0.220383,-0.00555726,-0.262733,0.331321,0.160727,0.113219,-0.00714236,0.0386879,1.02132,-1.73404,2.12748,-0.301102,-0.299462,0.601312,-0.176876,-0.770002,0.570502,-0.625313,0.29198,-0.417255
271,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.496343,-0.695638,-0.152895,0.061931,-0.195245,0.398809,0.228216,0.180707,0.0603459,0.106176,1.02132,-1.66655,2.19497,-0.233614,-0.231974,0.6688,-0.176876,-0.770002,0.570502,-0.557824,0.29198,-0.514909
272,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0.473243,-0.718737,-0.175995,0.0388315,-0.218344,0.398809,0.228216,0.180707,0.0603459,0.106176,1.02132,-1.68965,2.17187,-0.233614,-0.231974,0.6688,-0.176876,-0.770002,0.570502,-0.580924,0.29198,-1.22503
273,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.579197,-0.612784,-0.0700411,0.144785,-0.218344,0.398809,0.228216,0.180707,0.0603459,0.106176,1.02132,-1.58369,2.27782,-0.12766,-0.12602,0.774754,-0.070922,-0.664049,0.570502,-0.47497,0.29198,-0.0121309
274,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0.532155,-0.659825,-0.117082,0.144785,-0.218344,0.398809,0.228216,0.180707,0.0603459,0.106176,1.02132,-1.63074,2.23078,-0.174702,-0.12602,0.774754,-0.070922,-0.664049,0.570502,-0.522012,0.29198,0.424395
275,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.464327,-0.727654,-0.117082,0.144785,-0.218344,0.398809,0.228216,0.180707,0.0603459,0.106176,1.02132,-1.69856,2.16295,-0.24253,-0.193848,0.706925,-0.070922,-0.664049,0.570502,-0.58984,0.29198,0.500913
276,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.392855,-0.799126,-0.188554,0.0733131,-0.289816,0.327337,0.156744,0.109235,-0.0111261,0.0347042,1.02132,-1.77004,2.09148,-0.314002,-0.26532,0.635453,-0.142394,-0.735521,0.49903,-0.661312,0.29198,-0.848304
277,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.480869,-0.711111,-0.10054,0.161328,-0.201802,0.415352,0.244758,0.19725,0.0768884,0.122719,1.02132,-1.68202,2.17949,-0.225988,-0.26532,0.635453,-0.142394,-0.735521,0.49903,-0.573298,0.29198,-2.62657
278,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0.558325,-0.633655,-0.0230841,0.238783,-0.124346,0.415352,0.244758,0.19725,0.0768884,0.122719,1.02132,-1.60457,2.17949,-0.225988,-0.26532,0.635453,-0.142394,-0.735521,0.49903,-0.495842,0.29198,1.1735
279,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.454825,-0.737155,-0.126584,0.135283,-0.227846,0.311852,0.141258,0.0937496,-0.0266118,0.122719,1.02132,-1.70807,2.07599,-0.329488,-0.368821,0.531953,-0.142394,-0.735521,0.49903,-0.599342,0.29198,-0.580572
280,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0.434852,-0.757128,-0.146557,0.11531,-0.247819,0.291879,0.121285,0.0737769,-0.0465846,0.122719,1.02132,-1.70807,2.07599,-0.329488,-0.368821,0.531953,-0.142394,-0.735521,0.49903,-0.619315,0.29198,-2.36565
281,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.595121,-0.596859,0.0137118,0.275579,-0.08755,0.452148,0.281554,0.234046,0.113684,0.282988,1.02132,-1.5478,2.07599,-0.329488,-0.368821,0.531953,-0.142394,-0.735521,0.49903,-0.459046,0.29198,1.08833
282,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.495677,-0.696304,-0.0857327,0.176135,-0.186994,0.352703,0.18211,0.134601,0.0142398,0.183543,1.02132,-1.64724,1.97655,-0.428932,-0.468265,0.432509,-0.241839,-0.834965,0.399585,-0.55849,0.29198,-0.123893
283,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0.549196,-0.642785,-0.0322139,0.229654,-0.133476,0.406222,0.235628,0.18812,0.0677585,0.237062,1.02132,-1.59372,2.03007,-0.375414,-0.414746,0.486027,-0.241839,-0.834965,0.399585,-0.504972,0.29198,0.661126
284,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.470094,-0.721886,-0.111315,0.150552,-0.212577,0.327121,0.156527,0.109019,-0.0113427,0.157961,1.02132,-1.67282,1.95097,-0.454515,-0.414746,0.486027,-0.241839,-0.834965,0.399585,-0.584073,0.29198,-0.26992
285,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0.530567,-0.661414,-0.0508428,0.211025,-0.152105,0.387593,0.216999,0.169491,0.0491297,0.218433,1.02132,-1.67282,1.95097,-0.454515,-0.414746,0.486027,-0.241839,-0.834965,0.399585,-0.5236,0.29198,-0.26992
286,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.530567,-0.661414,-0.0508428,0.211025,-0.152105,0.387593,0.216999,0.169491,0.0491297,0.218433,1.02132,-1.67282,1.95097,-0.454515,-0.414746,0.486027,-0.241839,-0.834965,0.399585,-0.5236,0.29198,-1.04109
287,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.532523,-0.659457,-0.0488863,0.212981,-0.150148,0.38955,0.216999,0.169491,0.0491297,0.218433,1.02132,-1.67087,1.95292,-0.452558,-0.41279,0.487984,-0.239882,-0.833009,0.401542,-0.521644,0.29198,-0.0280824
288,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.486241,-0.705739,-0.0951681,0.166699,-0.19643,0.343268,0.170718,0.169491,0.0491297,0.218433,1.02132,-1.67087,1.95292,-0.452558,-0.41279,0.487984,-0.239882,-0.833009,0.401542,-0.567926,0.29198,-0.72794
289,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0.568524,-0.623456,-0.0128853,0.248982,-0.114147,0.425551,0.253001,0.251774,0.131413,0.300716,1.02132,-1.58858,2.03521,-0.370275,-0.330507,0.570267,-0.157599,-0.750726,0.483825,-0.485643,0.29198,-0.72794
290,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0.568524,-0.623456,-0.0128853,0.248982,-0.114147,0.425551,0.253001,0.251774,0.131413,0.300716,1.02132,-1.58858,2.03521,-0.370275,-0.330507,0.570267,-0.157599,-0.750726,0.483825,-0.485643,0.29198,0.719459
291,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0.486645,-0.705335,-0.0947643,0.167103,-0.196026,0.343672,0.171121,0.169895,0.0495335,0.300716,1.02132,-1.67046,1.95333,-0.452154,-0.330507,0.570267,-0.157599,-0.750726,0.483825,-0.567522,0.29198,-0.725008
292,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.568788,-0.623192,-0.012621,0.249247,-0.113883,0.425815,0.253265,0.252038,0.0495335,0.300716,1.02132,-1.58832,2.03547,-0.370011,-0.248364,0.570267,-0.157599,-0.750726,0.483825,-0.485379,0.29198,-1.57954
293,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.596386,-0.595595,0.0149764,0.276844,-0.0862854,0.453412,0.253265,0.252038,0.0495335,0.300716,1.02132,-1.56072,2.03547,-0.370011,-0.248364,0.570267,-0.157599,-0.750726,0.483825,-0.457781,0.29198,-1.72589
294,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0.630952,-0.561028,0.0495427,0.31141,-0.0862854,0.453412,0.253265,0.252038,0.0495335,0.300716,1.02132,-1.52616,2.03547,-0.370011,-0.248364,0.570267,-0.157599,-0.750726,0.483825,-0.423215,0.29198,1.53395
