Iteration,Input 0,Input 1,Input 2,Input 3,Input 4,Input 5,Input 6,Input 7,Input 8,Input 9,Input 10,Input 11,Input 12,Input 13,Input 14,Input 15,Input 16,Input 17,Input 18,Input 19,Input 20,Weight 0,Weight 1,Weight 2,Weight 3,Weight 4,Weight 5,Weight 6,Weight 7,Weight 8,Weight 9,Weight 10,Weight 11,Weight 12,Weight 13,Weight 14,Weight 15,Weight 16,Weight 17,Weight 18,Weight 19,Weight 20,Output Signal
18,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.541513,-1.02602,-0.138329,0.0229806,-0.570737,0.303959,0.0303134,-0.193658,-0.253593,-0.0329091,1.02132,-1.41186,4.5846,-0.249906,-1.29779,0.466658,-0.852867,-0.894262,1.576,-0.512654,0.406745,-1.48456
19,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0.564587,-1.00295,-0.115255,0.0460546,-0.547663,0.327033,0.0533875,-0.170584,-0.230519,-0.00983506,1.02132,-1.38878,4.60767,-0.226832,-1.27471,0.489732,-0.829793,-0.871188,1.576,-0.48958,0.406745,2.05451
20,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0.419134,-1.1484,-0.260708,-0.0993981,-0.693116,0.18158,-0.0920653,-0.170584,-0.230519,-0.00983506,1.02132,-1.53424,4.46222,-0.226832,-1.27471,0.489732,-0.829793,-0.871188,1.576,-0.635033,0.406745,0.0667895
21,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.368335,-1.1992,-0.311507,-0.150198,-0.693116,0.18158,-0.0920653,-0.170584,-0.230519,-0.00983506,1.02132,-1.58504,4.41142,-0.277631,-1.32551,0.438933,-0.880592,-0.921987,1.5252,-0.685832,0.406745,-1.80042
22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.501688,-1.06585,-0.178154,-0.0168443,-0.559763,0.314934,0.041288,-0.170584,-0.230519,-0.00983506,1.02132,-1.45168,4.54477,-0.144278,-1.19216,0.572286,-0.747239,-0.921987,1.5252,-0.552479,0.406745,-1.2664
23,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0.593707,-0.973827,-0.0861353,0.0751743,-0.467744,0.406952,0.133307,-0.078565,-0.138501,0.0821836,1.02132,-1.35966,4.63679,-0.0522594,-1.10014,0.664305,-0.588419,-0.763167,1.5252,-0.46046,0.406745,0.52354
24,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0.521157,-1.04638,-0.158685,0.00262477,-0.540294,0.334403,0.0607571,-0.151115,-0.21105,0.00963404,1.02132,-1.43221,4.56424,-0.124809,-1.17269,0.591755,-0.660968,-0.835717,1.5252,-0.53301,0.406745,0.733216
25,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0.438623,-1.12891,-0.241219,-0.0799093,-0.622828,0.251869,-0.021777,-0.233649,-0.293584,0.00963404,1.02132,-1.51475,4.48171,-0.207343,-1.25522,0.509221,-0.743503,-0.918251,1.44267,-0.615544,0.406745,-0.0357173
26,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0.368718,-1.19882,-0.241219,-0.0799093,-0.622828,0.251869,-0.021777,-0.233649,-0.293584,0.00963404,1.02132,-1.58465,4.4118,-0.245765,-1.29365,0.470799,-0.781925,-0.918251,1.44267,-0.685449,0.406745,-0.988469
27,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0.463407,-1.10413,-0.14653,0.0147797,-0.528139,0.346558,0.072912,-0.13896,-0.198895,0.104323,1.02132,-1.48996,4.50649,-0.151076,-1.19896,0.565488,-0.781925,-0.918251,1.44267,-0.59076,0.406745,0.121687
